2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	7	0	2	0	2	0	2	0	2	0	2	0
0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2
2	0	2	0	2	0	2	0	2	0	2	0	2	5	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0
0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2
2	5	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0
0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2
2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0
0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2
2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0
0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2
7	0	2	0	2	5	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0
0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2
2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	5	2	0	2	0	2	5	2	0
5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2
2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0
0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2
2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0
0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2
2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	5	2	0	2	0	2	0	2	0
0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2
2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	5	2	0	2	0	2	0	2	0
0	2	0	2	0	2	0	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	0	2	0	2	0	2
2	0	2	0	2	0	2	5	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0
0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2
2	5	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	5	2	0	2	0	2	0	2	0
0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2
2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0
